time_s,arm_pos_rad,arm_vel_rad_s,pendulum_angle_rad,pendulum_vel_rad_s,control_action,acceleration_cmd_rad_s2,pendulum_angle_unwrapped,sim_cart_pos,sim_pole_angle,env_cart_pos,env_pole_angle,dyn_ghost_sim_pole_angle,env_action
6.95008,1.453,4.1129,0.7644,-0.0573,-0.4056,-20.2788,5.543026077993832,0.9101346205471863,6.250688494845079,-0.14672750479818003,28.185524204601492,6.184656334892353,-0.1768924593925476
6.97508,1.5109,2.3164,0.787,0.0946,-0.7526,-37.6284,5.614026071964962,0.8338281427220312,6.574385879770456,-0.1296473873367417,28.205403194705916,6.343380256656355,0.11204469949007034
7.00017,1.5556,1.7808,0.85,0.2638,-1.0,-50.0,5.811946409141118,0.7238699977800992,6.904283341755874,-0.12583096328366924,28.20590828935656,6.506705722094165,-0.22966603934764862
7.02512,1.5929,1.4951,0.944,0.3937,-1.0,-50.0,6.107256118578559,0.6074407727908826,7.193688490691057,-0.1096232795797693,28.211957391923544,6.657091187793755,0.16760092973709106
7.05008,1.5865,-0.2557,-0.9761,0.3349,-1.0,-50.0,6.358269371600383,0.49290159156785285,7.4169958792982325,-0.10836857993263312,28.19767503322949,6.802512510436665,-0.2457706332206726
7.07508,1.5575,-1.1586,-0.8948,0.3405,-0.8965,-44.8273,6.613680854337233,0.3770185581383002,7.563322396876452,-0.09514704937356018,28.187718517357705,6.917983839849249,0.16061799228191376
7.10008,1.4795,-3.1222,-0.8088,0.36,-0.8194,-40.971,6.883857822545956,0.2609905460942175,7.624387567398624,-0.0936029262024153,28.158257783924572,7.009644557564893,-0.17745958268642426
7.1251,1.4059,-2.9427,-0.7344,0.3119,-0.7353,-36.7666,7.117592315973036,0.14462798843311883,7.597672017887741,-0.08054520199697468,28.1288838799922,7.040149456642665,0.17110657691955566
7.15008,1.2669,-5.5602,-0.6793,0.2306,-0.9767,-48.8333,7.290694071185834,0.05332286158856924,7.482251475350776,-0.07911581277816694,28.074416125011712,7.046515083348494,-0.1739100068807602
7.17508,1.1678,-3.9664,-0.6478,0.1319,-0.8668,-43.3415,7.389654239773912,-0.07099465529875976,7.307238184189912,-0.06541399611668491,28.012643102895726,6.974068068997923,0.19015754759311676
7.20007,1.0191,-5.9513,-0.6406,0.0302,-0.9572,-47.862,7.412273706879759,-0.1940380108583738,7.068969621543641,-0.06307271774746524,27.915054213536024,6.8774969571345,-0.1635715812444687
